data;estado;municipio;confirmados;obitos;populacao
44008;ES;São Gabriel da Palha;334;1;37947
44008;PI;São Raimundo Nonato;334;3;34710
44008;MA;Fernando Falcão;333;0;10360
44008;AL;São José da Laje;332;2;23927
44008;MG;Ribeirão das Neves;332;8;334858
44008;CE;Capistrano;331;6;17738
44008;MA;Paulo Ramos;330;3;21040
44008;MG;Divinópolis;330;10;238230
44008;PA;Nova Esperança do Piriá;330;6;21368
44008;PA;Mãe do Rio;329;20;30077
44008;RJ;Mangaratiba;329;24;44468
44008;MA;Alto Alegre do Pindaré;328;1;31919
44008;PA;Novo Progresso;327;1;25762
44008;RS;Alvorada;327;8;210305
44008;RJ;Araruama;326;35;132400
44008;RJ;Cachoeiras de Macacu;325;18;58937
44008;SP;Araras;325;8;134236
44008;PA;Santo Antônio do Tauá;324;22;31482
44008;PE;Paudalho;324;27;56506
44008;RJ;Casimiro de Abreu;324;10;44184
44008;MA;Bacuri;323;2;18582
44008;AL;Junqueiro;321;6;24727
44008;MA;São Domingos do Maranhão;321;2;34376
44007;RN;Açu;321;14;58017
44008;PA;Tracuateua;320;11;30959
44008;PE;Águas Belas;320;16;43443
44007;PR;Pinhais;320;9;132157
44007;RR;Cantá;320;6;18335
44008;RS;Gravataí;319;10;281519
44008;SP;Marília;318;11;238882
44008;MG;Santana do Paraíso;317;9;34663
44008;AP;Amapá;315;4;9109
44008;GO;Planaltina;315;11;89918
44007;PR;São José dos Pinhais;315;24;323340
44008;MT;Pontes e Lacerda;313;14;45436
44008;PE;Timbaúba;310;30;53022
44003;PB;Lagoa Seca;310;3;27503
44008;CE;Cariré;309;8;18448
44008;AL;Satuba;308;16;13828
44008;GO;Mineiros;307;6;66801
44008;MT;Campo Verde;306;2;44041
44008;GO;Novo Gama;305;14;115711
44008;PE;Pombos;305;17;27091
44008;AL;Capela;303;1;17053
44008;MG;Extrema;303;5;36225
44008;MA;Peritoró;301;2;23196
44008;MT;Confresa;300;7;30933
44008;SP;Embu-Guaçu;299;12;69385
44007;RR;Caroebe;299;2;10169
44008;GO;Santo Antônio do Descoberto;298;6;74744
44008;CE;Chorozinho;297;11;20264
44008;BA;Porto Seguro;295;1;148686
44008;PE;Surubim;295;9;65089
44008;MA;Alto Alegre do Maranhão;294;8;27053
44008;CE;Tejuçuoca;293;9;19187
44008;CE;Meruoca;292;10;15057
44008;SP;Sertãozinho;291;8;125815
44008;PI;Piripiri;290;6;63742
44008;RS;Cachoeirinha;290;4;130293
44008;ES;Anchieta;289;6;29263
44007;PR;Ponta Grossa;289;1;351736
44008;AM;Itamarati;288;2;7851
44008;MG;Pouso Alegre;287;4;150737
44007;AC;Brasiléia;287;6;26278
44007;MS;Rio Brilhante;287;2;37514
44003;PB;Alagoinha;287;1;14489
44008;ES;Afonso Cláudio;286;8;30586
44003;PB;Rio Tinto;286;7;24176
44008;CE;Groaíras;285;3;11068
44008;GO;Jataí;285;2;100882
44008;AM;Pauini;284;3;19426
44008;ES;Nova Venécia;284;10;50110
44008;PI;Demerval Lobão;284;2;13817
44008;AP;Ferreira Gomes;283;2;7780
44008;BA;Barreiras;281;4;155439
44008;PA;Ponta de Pedras;281;6;31082
44008;RJ;Paraíba do Sul;281;12;44285
44008;RS;Três Passos;281;2;23906
44008;SC;Seara;281;0;17541
44008;PE;Santa Cruz do Capibaribe;280;9;107937
44008;AL;Maragogi;279;8;32704
44008;GO;Formosa;279;4;121617
44008;MG;Importados/Indefinidos;279;20;
44007;PR;Araucária;279;3;143843
44007;RN;Touros;279;8;33287
44008;CE;Senador Sá;277;2;7623
44008;SP;Registro;277;7;56322
44003;PB;Alhandra;276;7;19588
44008;RS;Sapucaia do Sul;274;10;141075
44008;AM;Anamã;273;0;13614
44008;MA;Timbiras;273;3;29124
44008;PE;Catende;273;19;42892
44008;SP;Leme;273;10;103391
44007;RN;Caicó;273;4;67952
44008;PA;Salvaterra;272;12;23752
44008;RJ;Vassouras;272;13;36896
44007;RN;Extremoz;272;7;28583
44008;CE;Barbalha;271;6;60781
44007;AC;Plácido de Castro;269;6;19761
44008;CE;Pindoretama;268;13;20567
44008;MA;Barreirinhas;267;16;62528
44008;MG;João Monlevade;267;0;79910
44008;PA;São Geraldo do Araguaia;267;12;24847
44008;RS;Carlos Barbosa;267;7;29833
44007;MS;Corumbá;267;6;111435
44008;CE;Morrinhos;266;7;22534
44008;CE;Ocara;266;11;25703
44008;PE;Moreno;266;33;62784
44008;BA;Camacan;265;6;31988
44008;CE;Miraíma;265;6;13818
44008;ES;Domingos Martins;265;3;33850
44008;SP;Vinhedo;265;7;78728
44008;MA;Poção de Pedras;264;0;17873
44008;CE;Jaguaruana;263;5;33705
44003;PB;Alagoa Grande;263;6;28496
44003;PB;Mari;263;7;21837
44008;MA;Centro Novo do Maranhão;262;5;21622
44008;MA;Maranhãozinho;262;3;16265
44008;PA;Irituia;262;6;32550
44008;PA;Aurora do Pará;261;6;31338
44008;PE;Brejo da Madre de Deus;261;5;50742
44008;RS;Teutônia;261;0;33232
44003;PB;Conde;261;5;24670
44008;PA;Anajás;260;9;29277
44008;SP;Itupeva;260;9;61252
44008;ES;Fundão;259;9;21509
44008;PE;Arcoverde;259;21;74338
